Número Município Nome
     1 1100015   Alta Floresta D'Oeste           
  3439 4126652   Sulina                          
  3440 4126678   Tamarana                        
  3441 4126702   Tamboara                        
  3442 4126801   Tapejara                        
  3443 4126900   Tapira                          
  3444 4127007   Teixeira Soares                 
  3445 4127205   Terra Boa                       
  3446 4127304   Terra Rica                      
  3447 4127403   Terra Roxa                      
  3448 4127502   Tibagi                          
  3449 4127601   Tijucas do Sul                  
  3450 4127809   Tomazina                        
  3451 4127858   Três Barras do Paraná           
  3452 4127882   Tunas do Paraná                 
  3453 4127908   Tuneiras do Oeste               
  3454 4127957   Tupãssi                         
  3455 4127965   Turvo                           
  3456 4128005   Ubiratã                         
  3457 4128302   Uniflor                         
  3458 4128401   Uraí                            
  3459 4128500   Wenceslau Braz                  
  3460 4128534   Ventania                        
  3461 4128559   Vera Cruz do Oeste              
  3462 4128609   Verê                            
  3463 4128625   Alto Paraíso                    
  3464 4128633   Doutor Ulysses                  
  3465 4128658   Virmond                         
  3466 4128708   Vitorino                        
  3467 4128807   Xambrê                          
  3468 4200051   Abdon Batista                   
  3469 4200101   Abelardo Luz                    
  3470 4200200   Agrolândia                      
  3471 4200309   Agronômica                      
  3472 4200408   Água Doce                       
  3473 4200507   Águas de Chapecó                
  3474 4200556   Águas Frias                     
  3475 4200606   Águas Mornas                    
  3476 4200705   Alfredo Wagner                  
  3477 4200754   Alto Bela Vista                 
  3478 4200804   Anchieta                        
  3479 4200903   Angelina                        
  3480 4201000   Anita Garibaldi                 
  3481 4201109   Anitápolis                      
  3482 4201208   Antônio Carlos                  
  3483 4201257   Apiúna                          
  3484 4201273   Arabutã                         
  3485 4201307   Araquari                        
  3486 4201505   Armazém                         
  3487 4201604   Arroio Trinta                   
  3488 4201653   Arvoredo                        
  3489 4201703   Ascurra                         
  3490 4201802   Atalanta                        
  3491 4201901   Aurora                          
  3492 4201950   Balneário Arroio do Silva       
  3493 4202057   Balneário Barra do Sul          
  3494 4202073   Balneário Gaivota               
  3495 4202081   Bandeirante                     
  3496 4202099   Barra Bonita                    
  3497 4202107   Barra Velha                     
  3498 4202131   Bela Vista do Toldo             
  3499 4202156   Belmonte                        
  3500 4202206   Benedito Novo                   
  3501 4202438   Bocaina do Sul                  
  3502 4202453   Bombinhas                       
  3503 4202503   Bom Jardim da Serra             
  3504 4202537   Bom Jesus                       
  3505 4202578   Bom Jesus do Oeste              
  3506 4202602   Bom Retiro                      
  3507 4202701   Botuverá                        
  3508 4202859   Braço do Trombudo               
  3509 4202875   Brunópolis                      
  3510 4203105   Caibi                           
  3511 4203154   Calmon                          
  3512 4203253   Capão Alto                      
  3513 4203303   Campo Alegre                    
  3514 4203402   Campo Belo do Sul               
  3515 4203501   Campo Erê                       
  3516 4203709   Canelinha                       
  3517 4203907   Capinzal                        
  3518 4203956   Capivari de Baixo               
  3519 4204004   Catanduvas                      
  3520 4204103   Caxambu do Sul                  
  3521 4204152   Celso Ramos                     
  3522 4204178   Cerro Negro                     
  3523 4204194   Chapadão do Lageado             
  3524 4204251   Cocal do Sul                    
  3525 4204350   Cordilheira Alta                
  3526 4204400   Coronel Freitas                 
  3527 4204459   Coronel Martins                 
  3528 4204509   Corupá                          
  3529 4204558   Correia Pinto                   
  3530 4204707   Cunha Porã                      
  3531 4204756   Cunhataí                        
  3532 4204905   Descanso                        
  3533 4205001   Dionísio Cerqueira              
  3534 4205100   Dona Emma                       
  3535 4205159   Doutor Pedrinho                 
  3536 4205175   Entre Rios                      
  3537 4205191   Ermo                            
  3538 4205209   Erval Velho                     
  3539 4205308   Faxinal dos Guedes              
  3540 4205357   Flor do Sertão                  
  3541 4205431   Formosa do Sul                  
  3542 4205456   Forquilhinha                    
  3543 4205555   Frei Rogério                    
  3544 4205605   Galvão                          
  3545 4205704   Garopaba                        
  3546 4205803   Garuva                          
  3547 4206009   Governador Celso Ramos          
  3548 4206108   Grão Pará                       
  3549 4206207   Gravatal                        
  3550 4206306   Guabiruba                       
  3551 4206405   Guaraciaba                      
  3552 4206603   Guarujá do Sul                  
  3553 4206652   Guatambú                        
  3554 4206702   Herval d'Oeste                  
  3555 4206751   Ibiam                           
  3556 4206801   Ibicaré                         
  3557 4206900   Ibirama                         
  3558 4207106   Ilhota                          
  3559 4207205   Imaruí                          
  3560 4207403   Imbuia                          
  3561 4207577   Iomerê                          
  3562 4207601   Ipira                           
  3563 4207650   Iporã do Oeste                  
  3564 4207684   Ipuaçu                          
  3565 4207700   Ipumirim                        
  3566 4207759   Iraceminha                      
  3567 4207809   Irani                           
  3568 4207858   Irati                           
  3569 4207908   Irineópolis                     
  3570 4208005   Itá                             
  3571 4208104   Itaiópolis                      
  3572 4208401   Itapiranga                      
  3573 4208450   Itapoá                          
  3574 4208500   Ituporanga                      
  3575 4208609   Jaborá                          
  3576 4208708   Jacinto Machado                 
  3577 4208807   Jaguaruna                       
  3578 4208955   Jardinópolis                    
  3579 4209151   José Boiteux                    
  3580 4209177   Jupiá                           
  3581 4209201   Lacerdópolis                    
  3582 4209458   Lajeado Grande                  
  3583 4209508   Laurentino                      
  3584 4209607   Lauro Muller                    
  3585 4209706   Lebon Régis                     
  3586 4209805   Leoberto Leal                   
  3587 4209854   Lindóia do Sul                  
  3588 4209904   Lontras                         
  3589 4210001   Luiz Alves                      
  3590 4210035   Luzerna                         
  3591 4210050   Macieira                        
  3592 4210209   Major Gercino                   
  3593 4210308   Major Vieira                    
  3594 4210407   Maracajá                        
  3595 4210506   Maravilha                       
  3596 4210555   Marema                          
  3597 4210605   Massaranduba                    
  3598 4210704   Matos Costa                     
  3599 4210803   Meleiro                         
  3600 4210852   Mirim Doce                      
  3601 4210902   Modelo                          
  3602 4211009   Mondaí                          
  3603 4211058   Monte Carlo                     
  3604 4211108   Monte Castelo                   
  3605 4211207   Morro da Fumaça                 
  3606 4211256   Morro Grande                    
  3607 4211405   Nova Erechim                    
  3608 4211454   Nova Itaberaba                  
  3609 4211504   Nova Trento                     
  3610 4211603   Nova Veneza                     
  3611 4211652   Novo Horizonte                  
  3612 4211702   Orleans                         
  3613 4211751   Otacílio Costa                  
  3614 4211801   Ouro                            
  3615 4211850   Ouro Verde                      
  3616 4211876   Paial                           
  3617 4211892   Painel                          
  3618 4212007   Palma Sola                      
  3619 4212056   Palmeira                        
  3620 4212106   Palmitos                        
  3621 4212205   Papanduva                       
  3622 4212239   Paraíso                         
  3623 4212254   Passo de Torres                 
  3624 4212270   Passos Maia                     
  3625 4212304   Paulo Lopes                     
  3626 4212403   Pedras Grandes                  
  3627 4212502   Penha                           
  3628 4212601   Peritiba                        
  3629 4212700   Petrolândia                     
  3630 4212809   Balneário Piçarras              
  3631 4212908   Pinhalzinho                     
  3632 4213005   Pinheiro Preto                  
  3633 4213104   Piratuba                        
  3634 4213153   Planalto Alegre                 
  3635 4213302   Ponte Alta                      
  3636 4213351   Ponte Alta do Norte             
  3637 4213401   Ponte Serrada                   
  3638 4213500   Porto Belo                      
  3639 4213708   Pouso Redondo                   
  3640 4213807   Praia Grande                    
  3641 4213906   Presidente Castello Branco      
  3642 4214003   Presidente Getúlio              
  3643 4214102   Presidente Nereu                
  3644 4214151   Princesa                        
  3645 4214201   Quilombo                        
  3646 4214300   Rancho Queimado                 
  3647 4214409   Rio das Antas                   
  3648 4214508   Rio do Campo                    
  3649 4214607   Rio do Oeste                    
  3650 4214706   Rio dos Cedros                  
  3651 4214904   Rio Fortuna                     
  3652 4215059   Rio Rufino                      
  3653 4215075   Riqueza                         
  3654 4215109   Rodeio                          
  3655 4215208   Romelândia                      
  3656 4215307   Salete                          
  3657 4215356   Saltinho                        
  3658 4215406   Salto Veloso                    
  3659 4215455   Sangão                          
  3660 4215505   Santa Cecília                   
  3661 4215554   Santa Helena                    
  3662 4215604   Santa Rosa de Lima              
  3663 4215653   Santa Rosa do Sul               
  3664 4215679   Santa Terezinha                 
  3665 4215687   Santa Terezinha do Progresso    
  3666 4215695   Santiago do Sul                 
  3667 4215703   Santo Amaro da Imperatriz       
  3668 4215752   São Bernardino                  
  3669 4215901   São Bonifácio                   
  3670 4216008   São Carlos                      
  3671 4216057   São Cristovão do Sul            
  3672 4216107   São Domingos                    
  3673 4216255   São João do Oeste               
  3674 4216354   São João do Itaperiú            
  3675 4216404   São João do Sul                 
  3676 4216503   São Joaquim                     
  3677 4216701   São José do Cedro               
  3678 4216800   São José do Cerrito             
  3679 4216909   São Lourenço do Oeste           
  3680 4217006   São Ludgero                     
  3681 4217105   São Martinho                    
  3682 4217154   São Miguel da Boa Vista         
  3683 4217253   São Pedro de Alcântara          
  3684 4217303   Saudades                        
  3685 4217402   Schroeder                       
  3686 4217501   Seara                           
  3687 4217550   Serra Alta                      
  3688 4217600   Siderópolis                     
  3689 4217758   Sul Brasil                      
  3690 4217808   Taió                            
  3691 4217907   Tangará                         
  3692 4217956   Tigrinhos                       
  3693 4218103   Timbé do Sul                    
  3694 4218251   Timbó Grande                    
  3695 4218350   Treviso                         
  3696 4218400   Treze de Maio                   
  3697 4218509   Treze Tílias                    
  3698 4218608   Trombudo Central                
  3699 4218756   Tunápolis                       
  3700 4218806   Turvo                           
  3701 4218855   União do Oeste                  
  3702 4218905   Urubici                         
  3703 4218954   Urupema                         
  3704 4219002   Urussanga                       
  3705 4219101   Vargeão                         
  3706 4219150   Vargem                          
  3707 4219176   Vargem Bonita                   
  3708 4219200   Vidal Ramos                     
  3709 4219358   Vitor Meireles                  
  3710 4219408   Witmarsum                       
  3711 4219606   Xavantina                       
  3712 4219705   Xaxim                           
  3713 4219853   Zortéa                          
  3714 4300034   Aceguá                          
  3715 4300059   Água Santa                      
  3716 4300109   Agudo                           
  3717 4300208   Ajuricaba                       
  3718 4300307   Alecrim                         
  3719 4300455   Alegria                         
  3720 4300471   Almirante Tamandaré do Sul      
  3721 4300505   Alpestre                        
  3722 4300554   Alto Alegre                     
  3723 4300570   Alto Feliz                      
  3724 4300638   Amaral Ferrador                 
  3725 4300646   Ametista do Sul                 
  3726 4300661   André da Rocha                  
  3727 4300703   Anta Gorda                      
  3728 4300802   Antônio Prado                   
  3729 4300851   Arambaré                        
  3730 4300877   Araricá                         
  3731 4300901   Aratiba                         
  3732 4301008   Arroio do Meio                  
  3733 4301057   Arroio do Sal                   
  3734 4301073   Arroio do Padre                 
  3735 4301107   Arroio dos Ratos                
  3736 4301206   Arroio do Tigre                 
  3737 4301305   Arroio Grande                   
  3738 4301404   Arvorezinha                     
  3739 4301503   Augusto Pestana                 
  3740 4301552   Áurea                           
  3741 4301636   Balneário Pinhal                
  3742 4301651   Barão                           
  3743 4301701   Barão de Cotegipe               
  3744 4301750   Barão do Triunfo                
  3745 4301800   Barracão                        
  3746 4301859   Barra do Guarita                
  3747 4301875   Barra do Quaraí                 
  3748 4301909   Barra do Ribeiro                
  3749 4301925   Barra do Rio Azul               
  3750 4301958   Barra Funda                     
  3751 4302006   Barros Cassal                   
  3752 4302055   Benjamin Constant do Sul        
  3753 4302154   Boa Vista das Missões           
  3754 4302204   Boa Vista do Buricá             
  3755 4302220   Boa Vista do Cadeado            
  3756 4302238   Boa Vista do Incra              
  3757 4302253   Boa Vista do Sul                
  3758 4302303   Bom Jesus                       
  3759 4302352   Bom Princípio                   
  3760 4302378   Bom Progresso                   
  3761 4302402   Bom Retiro do Sul               
  3762 4302451   Boqueirão do Leão               
  3763 4302501   Bossoroca                       
  3764 4302584   Bozano                          
  3765 4302600   Braga                           
  3766 4302659   Brochier                        
  3767 4302709   Butiá                           
  3768 4302907   Cacequi                         
  3769 4303202   Cacique Doble                   
  3770 4303301   Caibaté                         
  3771 4303400   Caiçara                         
  3772 4303558   Camargo                         
  3773 4303608   Cambará do Sul                  
  3774 4303673   Campestre da Serra              
  3775 4303707   Campina das Missões             
  3776 4303806   Campinas do Sul                 
  3777 4304002   Campo Novo                      
  3778 4304101   Campos Borges                   
  3779 4304309   Cândido Godói                   
  3780 4304358   Candiota                        
  3781 4304614   Canudos do Vale                 
  3782 4304622   Capão Bonito do Sul             
  3783 4304655   Capão do Cipó                   
  3784 4304663   Capão do Leão                   
  3785 4304671   Capivari do Sul                 
  3786 4304689   Capela de Santana               
  3787 4304697   Capitão                         
  3788 4304713   Caraá                           
  3789 4304853   Carlos Gomes                    
  3790 4304903   Casca                           
  3791 4304952   Caseiros                        
  3792 4305009   Catuípe                         
  3793 4305116   Centenário                      
  3794 4305124   Cerrito                         
  3795 4305132   Cerro Branco                    
  3796 4305157   Cerro Grande                    
  3797 4305173   Cerro Grande do Sul             
  3798 4305207   Cerro Largo                     
  3799 4305306   Chapada                         
  3800 4305371   Charrua                         
  3801 4305405   Chiapetta                       
  3802 4305439   Chuí                            
  3803 4305447   Chuvisca                        
  3804 4305454   Cidreira                        
  3805 4305504   Ciríaco                         
  3806 4305587   Colinas                         
  3807 4305603   Colorado                        
  3808 4305702   Condor                          
  3809 4305801   Constantina                     
  3810 4305835   Coqueiro Baixo                  
  3811 4305850   Coqueiros do Sul                
  3812 4305871   Coronel Barros                  
  3813 4305900   Coronel Bicaco                  
  3814 4305934   Coronel Pilar                   
  3815 4305959   Cotiporã                        
  3816 4305975   Coxilha                         
  3817 4306007   Crissiumal                      
  3818 4306056   Cristal                         
  3819 4306072   Cristal do Sul                  
  3820 4306130   Cruzaltense                     
  3821 4306205   Cruzeiro do Sul                 
  3822 4306304   David Canabarro                 
  3823 4306320   Derrubadas                      
  3824 4306353   Dezesseis de Novembro           
  3825 4306379   Dilermando de Aguiar            
  3826 4306429   Dois Irmãos das Missões         
  3827 4306452   Dois Lajeados                   
  3828 4306502   Dom Feliciano                   
  3829 4306551   Dom Pedro de Alcântara          
  3830 4306700   Dona Francisca                  
  3831 4306734   Doutor Maurício Cardoso         
  3832 4306759   Doutor Ricardo                  
  3833 4306809   Encantado                       
  3834 4306908   Encruzilhada do Sul             
  3835 4306924   Engenho Velho                   
  3836 4306932   Entre-Ijuís                     
  3837 4306957   Entre Rios do Sul               
  3838 4306973   Erebango                        
  3839 4307054   Ernestina                       
  3840 4307104   Herval                          
  3841 4307203   Erval Grande                    
  3842 4307302   Erval Seco                      
  3843 4307401   Esmeralda                       
  3844 4307450   Esperança do Sul                
  3845 4307500   Espumoso                        
  3846 4307559   Estação                         
  3847 4307815   Estrela Velha                   
  3848 4307831   Eugênio de Castro               
  3849 4307864   Fagundes Varela                 
  3850 4308003   Faxinal do Soturno              
  3851 4308052   Faxinalzinho                    
  3852 4308078   Fazenda Vilanova                
  3853 4308102   Feliz                           
  3854 4308250   Floriano Peixoto                
  3855 4308300   Fontoura Xavier                 
  3856 4308409   Formigueiro                     
  3857 4308433   Forquetinha                     
  3858 4308458   Fortaleza dos Valos             
  3859 4308508   Frederico Westphalen            
  3860 4308656   Garruchos                       
  3861 4308706   Gaurama                         
  3862 4308805   General Câmara                  
  3863 4308854   Gentil                          
  3864 4308904   Getúlio Vargas                  
  3865 4309001   Giruá                           
  3866 4309050   Glorinha                        
  3867 4309126   Gramado dos Loureiros           
  3868 4309159   Gramado Xavier                  
  3869 4309258   Guabiju                         
  3870 4309407   Guaporé                         
  3871 4309506   Guarani das Missões             
  3872 4309555   Harmonia                        
  3873 4309571   Herveiras                       
  3874 4309605   Horizontina                     
  3875 4309654   Hulha Negra                     
  3876 4309704   Humaitá                         
  3877 4309753   Ibarama                         
  3878 4309803   Ibiaçá                          
  3879 4309902   Ibiraiaras                      
  3880 4309951   Ibirapuitã                      
  3881 4310009   Ibirubá                         
  3882 4310306   Ilópolis                        
  3883 4310330   Imbé                            
  3884 4310363   Imigrante                       
  3885 4310405   Independência                   
  3886 4310413   Inhacorá                        
  3887 4310439   Ipê                             
  3888 4310462   Ipiranga do Sul                 
  3889 4310504   Iraí                            
  3890 4310538   Itaara                          
  3891 4310553   Itacurubi                       
  3892 4310579   Itapuca                         
  3893 4310652   Itati                           
  3894 4310702   Itatiba do Sul                  
  3895 4310751   Ivorá                           
  3896 4310801   Ivoti                           
  3897 4310850   Jaboticaba                      
  3898 4310876   Jacuizinho                      
  3899 4310900   Jacutinga                       
  3900 4311106   Jaguari                         
  3901 4311122   Jaquirana                       
  3902 4311130   Jari                            
  3903 4311155   Jóia                            
  3904 4311205   Júlio de Castilhos              
  3905 4311239   Lagoa Bonita do Sul             
  3906 4311254   Lagoão                          
  3907 4311270   Lagoa dos Três Cantos           
  3908 4311429   Lajeado do Bugre                
  3909 4311502   Lavras do Sul                   
  3910 4311601   Liberato Salzano                
  3911 4311627   Lindolfo Collor                 
  3912 4311643   Linha Nova                      
  3913 4311700   Machadinho                      
  3914 4311718   Maçambara                       
  3915 4311734   Mampituba                       
  3916 4311759   Manoel Viana                    
  3917 4311775   Maquiné                         
  3918 4311791   Maratá                          
  3919 4311908   Marcelino Ramos                 
  3920 4311981   Mariana Pimentel                
  3921 4312005   Mariano Moro                    
  3922 4312054   Marques de Souza                
  3923 4312104   Mata                            
  3924 4312138   Mato Castelhano                 
  3925 4312153   Mato Leitão                     
  3926 4312179   Mato Queimado                   
  3927 4312203   Maximiliano de Almeida          
  3928 4312252   Minas do Leão                   
  3929 4312302   Miraguaí                        
  3930 4312351   Montauri                        
  3931 4312377   Monte Alegre dos Campos         
  3932 4312385   Monte Belo do Sul               
  3933 4312427   Mormaço                         
  3934 4312443   Morrinhos do Sul                
  3935 4312450   Morro Redondo                   
  3936 4312476   Morro Reuter                    
  3937 4312500   Mostardas                       
  3938 4312609   Muçum                           
  3939 4312617   Muitos Capões                   
  3940 4312625   Muliterno                       
  3941 4312658   Não-Me-Toque                    
  3942 4312674   Nicolau Vergueiro               
  3943 4312708   Nonoai                          
  3944 4312757   Nova Alvorada                   
  3945 4312807   Nova Araçá                      
  3946 4312906   Nova Bassano                    
  3947 4312955   Nova Boa Vista                  
  3948 4313003   Nova Bréscia                    
  3949 4313011   Nova Candelária                 
  3950 4313037   Nova Esperança do Sul           
  3951 4313060   Nova Hartz                      
  3952 4313086   Nova Pádua                      
  3953 4313102   Nova Palma                      
  3954 4313201   Nova Petrópolis                 
  3955 4313300   Nova Prata                      
  3956 4313334   Nova Ramada                     
  3957 4313359   Nova Roma do Sul                
  3958 4313375   Nova Santa Rita                 
  3959 4313391   Novo Cabrais                    
  3960 4313425   Novo Machado                    
  3961 4313441   Novo Tiradentes                 
  3962 4313466   Novo Xingu                      
  3963 4313490   Novo Barreiro                   
  3964 4313607   Paim Filho                      
  3965 4313656   Palmares do Sul                 
  3966 4313805   Palmitinho                      
  3967 4313953   Pantano Grande                  
  3968 4314001   Paraí                           
  3969 4314027   Paraíso do Sul                  
  3970 4314035   Pareci Novo                     
  3971 4314068   Passa Sete                      
  3972 4314076   Passo do Sobrado                
  3973 4314134   Paulo Bento                     
  3974 4314159   Paverama                        
  3975 4314175   Pedras Altas                    
  3976 4314209   Pedro Osório                    
  3977 4314308   Pejuçara                        
  3978 4314423   Picada Café                     
  3979 4314456   Pinhal                          
  3980 4314464   Pinhal da Serra                 
  3981 4314472   Pinhal Grande                   
  3982 4314498   Pinheirinho do Vale             
  3983 4314506   Pinheiro Machado                
  3984 4314555   Pirapó                          
  3985 4314605   Piratini                        
  3986 4314704   Planalto                        
  3987 4314753   Poço das Antas                  
  3988 4314779   Pontão                          
  3989 4314787   Ponte Preta                     
  3990 4315008   Porto Lucena                    
  3991 4315057   Porto Mauá                      
  3992 4315073   Porto Vera Cruz                 
  3993 4315107   Porto Xavier                    
  3994 4315131   Pouso Novo                      
  3995 4315149   Presidente Lucena               
  3996 4315156   Progresso                       
  3997 4315172   Protásio Alves                  
  3998 4315206   Putinga                         
  3999 4315305   Quaraí                          
  4000 4315313   Quatro Irmãos                   
  4001 4315321   Quevedos                        
  4002 4315354   Quinze de Novembro              
  4003 4315404   Redentora                       
  4004 4315453   Relvado                         
  4005 4315503   Restinga Seca                   
  4006 4315552   Rio dos Índios                  
  4007 4315750   Riozinho                        
  4008 4315800   Roca Sales                      
  4009 4315909   Rodeio Bonito                   
  4010 4315958   Rolador                         
  4011 4316006   Rolante                         
  4012 4316105   Ronda Alta                      
  4013 4316204   Rondinha                        
  4014 4316303   Roque Gonzales                  
  4015 4316428   Sagrada Família                 
  4016 4316436   Saldanha Marinho                
  4017 4316451   Salto do Jacuí                  
  4018 4316477   Salvador das Missões            
  4019 4316501   Salvador do Sul                 
  4020 4316600   Sananduva                       
  4021 4316709   Santa Bárbara do Sul            
  4022 4316733   Santa Cecília do Sul            
  4023 4316758   Santa Clara do Sul              
  4024 4316956   Santa Maria do Herval           
  4025 4316972   Santa Margarida do Sul          
  4026 4317004   Santana da Boa Vista            
  4027 4317251   Santa Tereza                    
  4028 4317558   Santo Antônio do Palma          
  4029 4317707   Santo Antônio das Missões       
  4030 4317756   Santo Antônio do Planalto       
  4031 4317806   Santo Augusto                   
  4032 4317905   Santo Cristo                    
  4033 4317954   Santo Expedito do Sul           
  4034 4318051   São Domingos do Sul             
  4035 4318101   São Francisco de Assis          
  4036 4318200   São Francisco de Paula          
  4037 4318408   São Jerônimo                    
  4038 4318424   São João da Urtiga              
  4039 4318432   São João do Polêsine            
  4040 4318440   São Jorge                       
  4041 4318457   São José das Missões            
  4042 4318465   São José do Herval              
  4043 4318481   São José do Hortêncio           
  4044 4318499   São José do Inhacorá            
  4045 4318606   São José do Ouro                
  4046 4318614   São José do Sul                 
  4047 4318622   São José dos Ausentes           
  4048 4319000   São Marcos                      
  4049 4319109   São Martinho                    
  4050 4319125   São Martinho da Serra           
  4051 4319158   São Miguel das Missões          
  4052 4319208   São Nicolau                     
  4053 4319307   São Paulo das Missões           
  4054 4319356   São Pedro da Serra              
  4055 4319364   São Pedro das Missões           
  4056 4319372   São Pedro do Butiá              
  4057 4319406   São Pedro do Sul                
  4058 4319505   São Sebastião do Caí            
  4059 4319604   São Sepé                        
  4060 4319703   São Valentim                    
  4061 4319711   São Valentim do Sul             
  4062 4319737   São Valério do Sul              
  4063 4319752   São Vendelino                   
  4064 4319802   São Vicente do Sul              
  4065 4320107   Sarandi                         
  4066 4320206   Seberi                          
  4067 4320230   Sede Nova                       
  4068 4320263   Segredo                         
  4069 4320305   Selbach                         
  4070 4320321   Senador Salgado Filho           
  4071 4320354   Sentinela do Sul                
  4072 4320404   Serafina Corrêa                 
  4073 4320453   Sério                           
  4074 4320503   Sertão                          
  4075 4320552   Sertão Santana                  
  4076 4320578   Sete de Setembro                
  4077 4320602   Severiano de Almeida            
  4078 4320651   Silveira Martins                
  4079 4320677   Sinimbu                         
  4080 4320701   Sobradinho                      
  4081 4320859   Tabaí                           
  4082 4320909   Tapejara                        
  4083 4321006   Tapera                          
  4084 4321105   Tapes                           
  4085 4321329   Taquaruçu do Sul                
  4086 4321352   Tavares                         
  4087 4321402   Tenente Portela                 
  4088 4321436   Terra de Areia                  
  4089 4321469   Tio Hugo                        
  4090 4321477   Tiradentes do Sul               
  4091 4321493   Toropi                          
  4092 4321626   Travesseiro                     
  4093 4321634   Três Arroios                    
  4094 4321667   Três Cachoeiras                 
  4095 4321709   Três Coroas                     
  4096 4321808   Três de Maio                    
  4097 4321832   Três Forquilhas                 
  4098 4321857   Três Palmeiras                  
  4099 4321907   Três Passos                     
  4100 4321956   Trindade do Sul                 
  4101 4322103   Tucunduva                       
  4102 4322152   Tunas                           
  4103 4322186   Tupanci do Sul                  
  4104 4322202   Tupanciretã                     
  4105 4322251   Tupandi                         
  4106 4322301   Tuparendi                       
  4107 4322327   Turuçu                          
  4108 4322343   Ubiretama                       
  4109 4322350   União da Serra                  
  4110 4322376   Unistalda                       
  4111 4322525   Vale Verde                      
  4112 4322533   Vale do Sol                     
  4113 4322541   Vale Real                       
  4114 4322558   Vanini                          
  4115 4322707   Vera Cruz                       
  4116 4322806   Veranópolis                     
  4117 4322855   Vespasiano Correa               
  4118 4322905   Viadutos                        
  4119 4323101   Vicente Dutra                   
  4120 4323200   Victor Graeff                   
  4121 4323309   Vila Flores                     
  4122 4323358   Vila Lângaro                    
  4123 4323408   Vila Maria                      
  4124 4323457   Vila Nova do Sul                
  4125 4323507   Vista Alegre                    
  4126 4323606   Vista Alegre do Prata           
  4127 4323705   Vista Gaúcha                    
  4128 4323754   Vitória das Missões             
  4129 4323770   Westfalia                       
  4130 4323804   Xangri-lá                       
  4131 5000203   Água Clara                      
  4132 5000252   Alcinópolis                     
  4133 5000708   Anastácio                       
  4134 5000807   Anaurilândia                    
  4135 5000856   Angélica                        
  4136 5000906   Antônio João                    
  4137 5001003   Aparecida do Taboado            
  4138 5001243   Aral Moreira                    
  4139 5001508   Bandeirantes                    
  4140 5001904   Bataguassu                      
  4141 5002001   Batayporã                       
  4142 5002100   Bela Vista                      
  4143 5002159   Bodoquena                       
  4144 5002209   Bonito                          
  4145 5002308   Brasilândia                     
  4146 5002407   Caarapó                         
  4147 5002605   Camapuã                         
  4148 5002803   Caracol                         
  4149 5002902   Cassilândia                     
  4150 5002951   Chapadão do Sul                 
  4151 5003108   Corguinho                       
  4152 5003157   Coronel Sapucaia                
  4153 5003256   Costa Rica                      
  4154 5003454   Deodápolis                      
  4155 5003488   Dois Irmãos do Buriti           
  4156 5003504   Douradina                       
  4157 5003751   Eldorado                        
  4158 5003801   Fátima do Sul                   
  4159 5003900   Figueirão                       
  4160 5004007   Glória de Dourados              
  4161 5004106   Guia Lopes da Laguna            
  4162 5004304   Iguatemi                        
  4163 5004403   Inocência                       
  4164 5004502   Itaporã                         
  4165 5004601   Itaquiraí                       
  4166 5004700   Ivinhema                        
  4167 5004809   Japorã                          
  4168 5004908   Jaraguari                       
  4169 5005004   Jardim                          
  4170 5005103   Jateí                           
  4171 5005152   Juti                            
  4172 5005202   Ladário                         
  4173 5005251   Laguna Carapã                   
  4174 5005608   Miranda                         
  4175 5005681   Mundo Novo                      
  4176 5005806   Nioaque                         
  4177 5006002   Nova Alvorada do Sul            
  4178 5006259   Novo Horizonte do Sul           
  4179 5006358   Paranhos                        
  4180 5006408   Pedro Gomes                     
  4181 5006903   Porto Murtinho                  
  4182 5007109   Ribas do Rio Pardo              
  4183 5007208   Rio Brilhante                   
  4184 5007307   Rio Negro                       
  4185 5007406   Rio Verde de Mato Grosso        
  4186 5007505   Rochedo                         
  4187 5007554   Santa Rita do Pardo             
  4188 5007695   São Gabriel do Oeste            
  4189 5007703   Sete Quedas                     
  4190 5007802   Selvíria                        
  4191 5007935   Sonora                          
  4192 5007950   Tacuru                          
  4193 5007976   Taquarussu                      
  4194 5008008   Terenos                         
  4195 5008404   Vicentina                       
  4196 5100102   Acorizal                        
  4197 5100201   Água Boa                        
  4198 5100300   Alto Araguaia                   
  4199 5100359   Alto Boa Vista                  
  4200 5100409   Alto Garças                     
  4201 5100508   Alto Paraguai                   
  4202 5100607   Alto Taquari                    
  4203 5100805   Apiacás                         
  4204 5101001   Araguaiana                      
  4205 5101209   Araguainha                      
  4206 5101258   Araputanga                      
  4207 5101308   Arenápolis                      
  4208 5101407   Aripuanã                        
  4209 5101605   Barão de Melgaço                
  4210 5101852   Bom Jesus do Araguaia           
  4211 5101902   Brasnorte                       
  4212 5102603   Campinápolis                    
  4213 5102637   Campo Novo do Parecis           
  4214 5102686   Campos de Júlio                 
  4215 5102694   Canabrava do Norte              
  4216 5102702   Canarana                        
  4217 5102793   Carlinda                        
  4218 5102850   Castanheira                     
  4219 5103007   Chapada dos Guimarães           
  4220 5103056   Cláudia                         
  4221 5103106   Cocalinho                       
  4222 5103205   Colíder                         
  4223 5103254   Colniza                         
  4224 5103304   Comodoro                        
  4225 5103353   Confresa                        
  4226 5103361   Conquista D'Oeste               
  4227 5103379   Cotriguaçu                      
  4228 5103437   Curvelândia                     
  4229 5103452   Denise                          
  4230 5103502   Diamantino                      
  4231 5103601   Dom Aquino                      
  4232 5103700   Feliz Natal                     
